row_id,customerID
0,7590-VHVEG
1,5575-GNVDE
2,3668-QPYBK
3,7795-CFOCW
4,9237-HQITU
5,9305-CDSKC
6,1452-KIOVK
7,6713-OKOMC
8,7892-POOKP
9,6388-TABGU
10,9763-GRSKD
11,7469-LKBCI
12,8091-TTVAX
13,0280-XJGEX
14,5129-JLPIS
15,3655-SNQYZ
16,8191-XWSZG
17,9959-WOFKT
18,4190-MFLUW
19,4183-MYFRB
20,8779-QRDMV
21,1680-VDCWW
22,1066-JKSGK
23,3638-WEABW
24,6322-HRPFA
25,6865-JZNKO
26,6467-CHFZW
27,8665-UTDHZ
28,5248-YGIJN
29,8773-HHUOZ
30,3841-NFECX
31,4929-XIHVW
32,6827-IEAUQ
33,7310-EGVHZ
34,3413-BMNZE
35,6234-RAAPL
36,6047-YHPVI
37,6572-ADKRS
38,5380-WJKOV
39,8168-UQWWF
40,8865-TNMNX
41,9489-DEDVP
42,9867-JCZSP
43,4671-VJLCL
44,4080-IIARD
45,3714-NTNFO
46,5948-UJZLF
47,7760-OYPDY
48,7639-LIAYI
49,2954-PIBKO
50,8012-SOUDQ
51,9420-LOJKX
52,6575-SUVOI
53,7495-OOKFY
54,4667-QONEA
55,1658-BYGOY
56,8769-KKTPH
57,5067-XJQFU
58,3957-SQXML
59,5954-BDFSG
60,0434-CSFON
61,1215-FIGMP
62,0526-SXDJP
63,0557-ASKVU
64,5698-BQJOH
65,5122-CYFXA
66,8627-ZYGSZ
67,3410-YOQBQ
68,3170-NMYVV
69,7410-OIEDU
70,2273-QCKXA
71,0731-EBJQB
72,1891-QRQSA
73,8028-PNXHQ
74,5630-AHZIL
75,2673-CXQEU
76,6416-JNVRK
77,5590-ZSKRV
78,0191-ZHSKZ
79,3887-PBQAO
80,5919-TMRGD
81,8108-UXRQN
82,9191-MYQKX
83,9919-YLNNG
84,0318-ZOPWS
85,4445-ZJNMU
86,4808-YNLEU
87,1862-QRWPE
88,2796-NNUFI
89,3016-KSVCP
90,4767-HZZHQ
91,2424-WVHPL
92,7233-PAHHL
93,6067-NGCEU
94,9848-JQJTX
95,8637-XJIVR
96,9803-FTJCG
97,0278-YXOOG
98,3212-KXOCR
99,4598-XLKNJ
100,6380-ARCEH
101,3679-XASPY
102,7123-WQUHX
103,5386-THSLQ
104,3192-NQECA
105,6180-YBIQI
106,6728-DKUCO
107,9750-BOOHV
108,8597-CWYHH
109,2848-YXSMW
110,0486-HECZI
111,4549-ZDQYY
112,5712-AHQNN
113,4846-WHAFZ
114,5256-SKJGO
115,3071-VBYPO
116,9560-BBZXK
117,5299-RULOA
118,8402-OOOHJ
119,9445-ZUEQE
120,1091-SOZGA
121,2928-HLDBA
122,0404-SWRVG
123,6497-TILVL
124,7219-TLZHO
125,4622-YNKIJ
126,4412-YLTKF
127,6734-PSBAW
128,3930-ZGWVE
129,2639-UGMAZ
130,2876-GZYZC
131,6207-WIOLX
132,8587-XYZSF
133,3091-FYHKI
134,2372-HWUHI
135,7799-LGRDP
136,7850-VWJUU
137,3774-VBNXY
138,6217-KDYWC
139,0390-DCFDQ
140,3146-MSEGF
141,4080-OGPJL
142,1095-WGNGG
143,2636-SJDOU
144,1131-QQZEB
145,5716-EZXZN
146,6837-BJYDQ
147,2135-RXIHG
148,6440-DKQGE
149,3466-BYAVD
150,3780-YVMFA
151,3874-EQOEP
152,1679-JRFBR
153,9073-ZZIAY
154,3077-RSNTJ
155,6551-GNYDG
